"Label","Total","Total!!Less than $10,000","Total!!$10,000 to $14,999","Total!!$15,000 to $24,999","Total!!$25,000 to $34,999","Total!!$35,000 to $49,999","Total!!$50,000 to $74,999","Total!!$75,000 to $99,999","Total!!$100,000 to $149,999","Total!!$150,000 to $199,999","Total!!$200,000 or more","Median income (dollars)","Mean income (dollars)","PERCENT ALLOCATED","PERCENT ALLOCATED!!Household income in the past 12 months","PERCENT ALLOCATED!!Family income in the past 12 months","PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"        Estimate","244","10.2%","24.2%","0.0%","11.9%","2.5%","14.3%","9.0%","13.5%","11.9%","2.5%","61,500","68,735","","(X)","(X)","34.8%"
"Census Tract 94, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,627","6.9%","2.4%","3.9%","5.9%","6.9%","14.8%","9.8%","19.3%","17.6%","12.4%","96,953","111,979","","36.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","998","0.0%","2.1%","2.8%","4.1%","3.4%","12.3%","14.2%","19.0%","25.6%","16.4%","127,000","131,628","","(X)","39.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","623","0.0%","3.4%","0.0%","0.0%","2.4%","11.4%","16.4%","15.4%","27.6%","23.4%","151,806","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","629","17.8%","2.9%","5.7%","8.7%","14.3%","18.8%","6.4%","18.0%","1.6%","5.9%","50,795","76,288","","(X)","(X)","30.7%"
"Census Tract 95.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,875","11.5%","4.4%","14.8%","6.8%","17.8%","16.9%","11.1%","10.6%","3.6%","2.6%","44,443","57,409","","35.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","963","5.3%","2.6%","9.6%","15.5%","18.5%","20.9%","8.7%","11.7%","3.1%","4.2%","49,177","64,739","","(X)","40.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","415","0.0%","0.0%","0.0%","22.7%","24.1%","12.3%","8.9%","15.2%","7.2%","9.6%","55,398","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","912","18.0%","6.3%","20.3%","1.1%","17.2%","14.3%","14.9%","5.3%","2.1%","0.7%","37,083","44,693","","(X)","(X)","27.4%"
"Census Tract 95.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,153","4.5%","0.7%","0.7%","2.3%","6.6%","8.8%","17.9%","31.7%","15.4%","11.5%","118,039","127,995","","39.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","806","1.0%","0.0%","0.0%","3.2%","5.6%","10.0%","18.4%","29.2%","17.0%","15.6%","119,808","141,707","","(X)","41.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","596","1.3%","0.0%","0.0%","0.0%","1.0%","9.6%","15.8%","32.7%","21.3%","18.3%","125,814","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","347","12.7%","2.3%","2.3%","0.0%","8.9%","5.8%","16.7%","37.5%","11.8%","2.0%","101,607","96,103","","(X)","(X)","36.0%"
"Census Tract 95.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,259","7.5%","3.0%","3.5%","10.3%","4.3%","14.5%","13.5%","22.7%","9.5%","11.2%","83,487","106,535","","31.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","582","0.0%","0.0%","0.0%","2.1%","3.3%","13.6%","16.0%","29.4%","14.9%","20.8%","134,737","154,314","","(X)","41.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","457","0.0%","0.0%","0.0%","0.0%","0.0%","12.5%","14.0%","34.6%","12.5%","26.5%","142,422","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","677","13.9%","5.6%","6.5%","17.4%","5.2%","15.2%","11.4%","17.0%","4.9%","3.0%","55,089","65,460","","(X)","(X)","22.7%"
"Census Tract 95.05, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,291","12.9%","2.8%","4.1%","3.3%","7.9%","14.5%","8.4%","19.2%","9.4%","17.4%","81,169","108,969","","47.8%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","755","0.0%","2.4%","1.2%","0.0%","4.2%","16.7%","7.7%","27.8%","15.1%","24.9%","119,266","143,719","","(X)","47.7%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","380","0.0%","4.7%","2.4%","0.0%","8.4%","10.0%","6.1%","11.6%","21.3%","35.5%","186,389","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","536","31.2%","3.4%","8.2%","8.0%","13.1%","11.4%","13.1%","9.5%","1.3%","0.9%","-","48,574","","(X)","(X)","47.9%"
"Census Tract 95.07, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","609","4.4%","6.2%","4.9%","8.2%","8.0%","18.9%","18.9%","21.3%","2.1%","6.9%","73,750","82,093","","43.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","352","1.1%","5.4%","0.0%","11.4%","9.9%","23.0%","17.3%","18.5%","1.4%","11.9%","74,167","91,197","","(X)","42.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","132","0.0%","0.0%","0.0%","0.0%","15.9%","16.7%","18.2%","24.2%","0.0%","25.0%","99,375","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","257","8.9%","7.4%","11.7%","3.9%","5.4%","23.0%","14.4%","25.3%","0.0%","0.0%","62,250","64,107","","(X)","(X)","44.7%"
"Census Tract 95.08, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,560","9.7%","5.8%","8.3%","9.0%","9.8%","14.9%","13.1%","19.0%","4.9%","5.4%","60,638","87,907","","36.3%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","738","0.9%","1.4%","7.3%","7.7%","8.1%","16.1%","14.6%","27.5%","6.6%","9.6%","95,000","114,451","","(X)","37.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","291","0.0%","0.0%","6.5%","7.9%","0.0%","15.8%","6.5%","31.3%","13.4%","18.6%","114,145","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","822","17.6%","9.7%","9.2%","10.1%","14.0%","11.7%","11.3%","11.3%","3.3%","1.7%","41,436","63,087","","(X)","(X)","35.0%"
"Census Tract 95.09, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,308","3.2%","5.5%","5.0%","8.6%","12.1%","18.2%","6.0%","27.3%","11.6%","2.5%","68,750","86,338","","49.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","760","0.0%","1.3%","4.3%","4.7%","7.6%","16.3%","4.7%","40.4%","16.2%","4.3%","111,230","109,666","","(X)","51.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","506","0.0%","0.0%","0.0%","7.1%","1.6%","17.4%","5.3%","41.5%","22.3%","4.7%","111,944","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","548","7.7%","11.3%","5.8%","13.9%","18.2%","20.8%","9.5%","9.1%","3.6%","0.0%","45,859","52,968","","(X)","(X)","42.2%"
"Census Tract 96.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","886","13.8%","8.4%","17.4%","17.2%","10.4%","11.9%","8.7%","6.0%","3.5%","2.9%","30,948","51,894","","41.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","569","12.5%","10.0%","14.4%","15.8%","14.2%","9.8%","12.3%","4.6%","1.8%","4.6%","34,055","54,243","","(X)","47.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","61","0.0%","0.0%","0.0%","0.0%","9.8%","0.0%","24.6%","26.2%","16.4%","23.0%","126,484","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","317","16.1%","5.4%","24.9%","19.6%","3.5%","13.2%","2.2%","8.5%","6.6%","0.0%","27,933","46,912","","(X)","(X)","29.0%"
"Census Tract 96.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,780","25.1%","7.6%","13.7%","15.6%","15.7%","14.5%","4.4%","2.4%","0.6%","0.4%","26,712","32,591","","32.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","759","27.7%","4.7%","11.9%","22.3%","7.9%","13.6%","7.0%","4.1%","0.0%","0.9%","26,699","34,940","","(X)","26.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","64","0.0%","0.0%","0.0%","14.1%","17.2%","17.2%","31.3%","9.4%","0.0%","10.9%","77,727","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,021","23.2%","9.8%","18.5%","11.5%","17.2%","15.2%","2.5%","1.1%","1.0%","0.0%","22,961","29,957","","(X)","(X)","36.8%"
"Census Tract 96.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,659","9.7%","12.9%","11.0%","7.6%","11.5%","21.3%","13.6%","5.1%","3.2%","4.1%","46,353","60,875","","44.0%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","777","4.1%","4.5%","3.6%","6.3%","17.5%","28.8%","11.5%","8.1%","6.8%","8.8%","62,583","86,984","","(X)","57.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","253","0.0%","0.0%","4.3%","2.8%","13.4%","13.4%","18.2%","20.6%","2.8%","24.5%","87,201","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","882","14.6%","20.3%","18.0%","8.7%","10.3%","14.6%","10.9%","2.5%","0.0%","0.0%","21,759","35,262","","(X)","(X)","32.5%"
"Census Tract 96.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","969","8.0%","4.0%","8.7%","9.4%","14.0%","18.0%","10.3%","17.8%","8.5%","1.3%","62,773","69,668","","47.2%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","490","6.1%","0.8%","9.0%","1.2%","15.1%","21.6%","10.2%","21.6%","13.1%","1.2%","73,681","82,881","","(X)","56.9%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","207","1.9%","0.0%","3.4%","0.0%","19.8%","22.7%","6.8%","14.5%","28.0%","2.9%","76,607","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","479","10.0%","7.3%","9.4%","17.7%","11.9%","15.7%","9.0%","13.8%","3.8%","1.5%","39,750","55,375","","(X)","(X)","37.2%"
"Census Tract 97, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,074","16.7%","8.4%","18.5%","4.5%","14.0%","9.3%","13.6%","5.1%","2.7%","7.3%","39,750","61,224","","43.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","676","12.1%","3.3%","17.6%","2.2%","12.6%","12.1%","20.3%","9.2%","3.3%","7.4%","60,694","70,674","","(X)","47.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","120","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","40.8%","17.5%","0.0%","41.7%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","398","24.4%","17.1%","20.1%","8.3%","16.3%","11.6%","2.3%","0.0%","0.0%","0.0%","19,929","25,355","","(X)","(X)","37.7%"
"Census Tract 98.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","879","21.4%","17.2%","17.1%","11.0%","5.9%","19.6%","5.0%","1.7%","0.5%","0.7%","21,088","33,484","","39.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","458","22.9%","9.4%","9.4%","15.1%","7.2%","24.0%","6.6%","3.3%","0.9%","1.3%","32,721","40,410","","(X)","39.5%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","52","0.0%","0.0%","0.0%","36.5%","26.9%","0.0%","13.5%","11.5%","0.0%","11.5%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","421","21.4%","25.7%","23.8%","10.0%","4.5%","11.4%","3.3%","0.0%","0.0%","0.0%","16,645","24,395","","(X)","(X)","39.7%"
"Census Tract 98.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","704","29.1%","10.5%","16.5%","3.1%","8.4%","12.9%","9.2%","6.8%","3.4%","0.0%","19,342","39,411","","43.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","430","21.6%","8.6%","22.6%","5.1%","7.0%","16.3%","8.1%","5.1%","5.6%","0.0%","23,235","42,960","","(X)","47.2%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","106","0.0%","0.0%","21.7%","0.0%","6.6%","29.2%","12.3%","11.3%","18.9%","0.0%","73,182","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","274","40.9%","13.5%","6.9%","0.0%","11.7%","7.7%","9.9%","9.5%","0.0%","0.0%","14,063","33,299","","(X)","(X)","37.6%"
"Census Tract 98.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,208","29.9%","5.0%","9.5%","10.8%","9.4%","16.4%","5.8%","9.9%","2.6%","0.7%","31,667","56,466","","37.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","598","25.8%","3.3%","3.5%","11.7%","3.7%","24.9%","15.6%","8.0%","3.5%","0.0%","51,500","51,125","","(X)","40.8%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","97","0.0%","0.0%","0.0%","13.4%","0.0%","0.0%","41.2%","32.0%","13.4%","0.0%","97,112","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","610","33.9%","10.0%","15.4%","8.4%","14.9%","12.8%","1.5%","0.0%","1.6%","1.5%","18,043","56,083","","(X)","(X)","31.6%"
"Census Tract 98.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,031","13.3%","7.2%","10.8%","11.8%","19.3%","15.3%","7.5%","9.6%","1.9%","3.3%","39,417","54,103","","43.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","603","10.0%","10.1%","11.4%","10.3%","19.7%","13.1%","6.3%","13.6%","2.5%","3.0%","40,352","56,426","","(X)","44.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","136","0.0%","0.0%","4.4%","11.0%","16.9%","0.0%","10.3%","38.2%","7.4%","11.8%","101,786","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","428","18.9%","6.5%","12.4%","13.3%","12.4%","19.9%","7.7%","5.1%","0.0%","3.7%","33,864","48,263","","(X)","(X)","38.1%"
"Census Tract 98.07, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,301","13.1%","5.8%","4.7%","13.0%","14.7%","18.6%","9.5%","13.3%","3.6%","3.8%","49,457","65,368","","52.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","697","15.4%","4.3%","4.0%","2.6%","17.6%","11.9%","13.6%","22.7%","0.9%","7.0%","63,177","78,695","","(X)","67.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","308","13.3%","0.0%","1.3%","3.2%","17.5%","6.5%","22.1%","21.8%","1.9%","12.3%","87,083","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","604","10.6%","7.5%","5.5%","25.0%","11.3%","29.3%","1.7%","6.3%","3.0%","0.0%","40,227","46,045","","(X)","(X)","35.3%"
"Census Tract 98.10, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,196","17.8%","15.1%","10.6%","14.0%","19.9%","9.8%","3.8%","5.4%","3.6%","0.0%","30,822","38,968","","31.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","569","15.8%","16.0%","9.1%","12.7%","21.4%","13.9%","3.5%","0.0%","7.6%","0.0%","32,950","39,630","","(X)","30.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","86","0.0%","0.0%","0.0%","0.0%","15.1%","31.4%","14.0%","0.0%","39.5%","0.0%","-","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","627","19.6%","14.2%","12.0%","15.2%","19.5%","5.1%","4.1%","10.4%","0.0%","0.0%","26,506","37,766","","(X)","(X)","32.2%"
"Census Tract 98.11, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,856","16.8%","7.5%","13.3%","20.3%","15.1%","11.0%","10.5%","3.4%","0.7%","1.5%","31,432","43,064","","39.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","1,009","17.9%","8.7%","12.1%","9.0%","18.1%","16.0%","10.6%","6.2%","1.3%","0.0%","36,004","42,714","","(X)","44.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","225","0.0%","3.6%","0.0%","0.0%","31.1%","18.2%","36.9%","10.2%","0.0%","0.0%","74,604","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","847","18.3%","8.6%","17.0%","28.2%","15.1%","6.1%","4.4%","0.0%","0.0%","2.2%","29,099","37,220","","(X)","(X)","25.0%"
"Census Tract 99.01, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","955","6.1%","2.5%","4.8%","8.9%","7.6%","11.7%","10.5%","19.1%","14.3%","14.5%","96,518","113,250","","34.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","620","2.6%","2.6%","2.1%","3.7%","7.1%","6.5%","12.4%","22.7%","19.5%","20.8%","117,228","140,237","","(X)","35.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","395","4.1%","0.0%","0.0%","1.5%","5.1%","1.5%","10.1%","16.2%","28.9%","32.7%","175,625","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","335","12.5%","2.4%","9.9%","18.5%","8.7%","21.5%","6.9%","13.4%","4.8%","1.5%","49,440","62,551","","(X)","(X)","34.6%"
"Census Tract 99.02, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,105","9.7%","6.0%","8.8%","6.2%","12.2%","17.9%","22.4%","9.0%","5.4%","2.4%","57,377","74,650","","50.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","586","1.2%","2.2%","3.1%","1.4%","21.5%","15.0%","34.3%","9.2%","10.2%","1.9%","78,586","84,672","","(X)","52.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","155","4.5%","5.2%","0.0%","0.0%","10.3%","54.2%","17.4%","0.0%","8.4%","0.0%","59,757","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","519","19.3%","10.2%","15.2%","13.1%","6.0%","15.4%","13.3%","5.6%","0.0%","1.9%","28,706","58,622","","(X)","(X)","46.2%"
"Census Tract 99.03, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","666","8.0%","5.4%","13.4%","6.6%","15.3%","14.6%","10.5%","13.5%","7.8%","5.0%","51,023","71,108","","45.5%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","440","1.8%","0.0%","16.1%","3.6%","11.1%","14.5%","16.4%","18.9%","15.2%","2.3%","85,179","84,977","","(X)","51.6%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","165","1.8%","0.0%","0.0%","2.4%","15.8%","14.5%","9.1%","27.3%","23.0%","6.1%","102,188","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","226","19.9%","15.9%","13.3%","12.4%","18.1%","14.6%","2.7%","3.1%","0.0%","0.0%","25,179","32,768","","(X)","(X)","33.6%"
"Census Tract 99.04, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,071","26.1%","5.4%","9.6%","9.2%","12.4%","10.5%","8.6%","11.9%","3.8%","2.4%","32,306","52,596","","35.7%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","506","25.5%","5.5%","6.1%","7.3%","9.7%","18.2%","11.3%","15.2%","1.2%","0.0%","41,429","52,470","","(X)","30.0%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","108","0.0%","4.6%","0.0%","0.0%","0.0%","14.8%","34.3%","40.7%","5.6%","0.0%","98,333","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","565","26.7%","5.3%","12.7%","12.0%","14.9%","3.9%","9.7%","6.7%","3.4%","4.6%","30,408","49,628","","(X)","(X)","39.6%"
"Census Tract 99.05, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,139","17.3%","7.6%","13.2%","8.1%","9.0%","19.8%","10.4%","9.5%","0.9%","4.1%","45,094","63,819","","35.4%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","628","14.2%","5.3%","9.9%","11.8%","10.4%","12.9%","15.3%","12.7%","1.6%","6.1%","48,929","83,532","","(X)","42.4%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","212","10.4%","0.0%","10.4%","0.0%","0.0%","10.4%","23.6%","33.5%","4.7%","7.1%","90,417","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","511","21.1%","10.6%","17.2%","3.5%","7.4%","28.4%","8.4%","1.6%","0.0%","1.8%","-","38,072","","(X)","(X)","26.8%"
"Census Tract 99.06, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","756","11.2%","10.7%","13.1%","6.5%","15.3%","18.7%","13.2%","7.5%","2.4%","1.3%","45,074","51,060","","39.6%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","365","9.6%","11.2%","11.8%","8.2%","13.4%","23.6%","14.2%","5.2%","1.4%","1.4%","47,961","48,711","","(X)","49.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","120","0.0%","8.3%","15.0%","4.2%","15.8%","33.3%","9.2%","5.8%","4.2%","4.2%","54,318","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","391","12.8%","10.2%","14.3%","10.0%","15.6%","11.8%","11.0%","9.7%","3.3%","1.3%","35,972","51,165","","(X)","(X)","27.4%"
"Census Tract 99.07, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,171","17.3%","3.8%","13.6%","23.2%","9.9%","10.6%","16.6%","3.1%","1.9%","0.0%","31,506","43,156","","40.1%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","751","18.0%","3.1%","15.4%","25.6%","4.7%","17.2%","11.3%","1.9%","2.9%","0.0%","31,222","41,324","","(X)","46.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","109","0.0%","0.0%","0.0%","11.9%","21.1%","11.0%","46.8%","0.0%","9.2%","0.0%","86,477","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","420","16.2%","5.2%","10.2%","19.0%","22.1%","8.8%","13.1%","5.2%","0.0%","0.0%","32,273","40,877","","(X)","(X)","29.0%"
"Census Tract 101, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
"        Estimate","1,766","8.9%","3.5%","3.1%","3.2%","9.5%","9.0%","18.1%","15.7%","13.5%","15.5%","94,250","130,329","","27.9%","(X)","(X)"
"    BOXHEAD2","","","","","","","","","","","","","","","","",""
"        Estimate","349","14.9%","8.9%","1.7%","0.0%","0.0%","6.3%","0.0%","12.3%","16.6%","39.3%","178,361","192,329","","(X)","55.3%","(X)"
"    BOXHEAD3","","","","","","","","","","","","","","","","",""
"        Estimate","278","11.2%","0.0%","0.0%","0.0%","0.0%","3.2%","0.0%","15.5%","20.9%","49.3%","194,375","N","","(X)","(X)","(X)"
"    BOXHEAD4","","","","","","","","","","","","","","","","",""
"        Estimate","1,417","7.4%","2.2%","3.5%","4.0%","11.8%","9.7%","22.6%","16.6%","12.7%","9.6%","90,332","114,526","","(X)","(X)","20.5%"
"Census Tract 102, District of Columbia, District of Columbia","","","","","","","","","","","","","","","","",""
"    BOXHEAD1","","","","","","","","","","","","","","","","",""
